SN;Commodity;Date;Unit;Minimum;Maximum;Average
113208;Tomato Big(Nepali);22/03/2018;Kg;55;60;57.5
113278;Tomato Big(Nepali);23/03/2018;Kg;45;50;47.5
113349;Tomato Big(Nepali);24/03/2018;Kg;40;48;44
113420;Tomato Big(Nepali);25/03/2018;Kg;45;50;47.5
113490;Tomato Big(Nepali);26/03/2018;Kg;35;40;37.5
113561;Tomato Big(Nepali);27/03/2018;Kg;35;40;37.5
113631;Tomato Big(Nepali);28/03/2018;Kg;30;35;32.5
113700;Tomato Big(Nepali);29/03/2018;Kg;35;40;37.5
113769;Tomato Big(Nepali);30/03/2018;Kg;35;40;37.5
113839;Tomato Big(Nepali);31/03/2018;Kg;30;35;32.5
113909;Tomato Big(Nepali);01/04/2018;Kg;30;35;32.5
113979;Tomato Big(Nepali);02/04/2018;Kg;30;35;32.5
114049;Tomato Big(Nepali);03/04/2018;Kg;35;40;37.5
114121;Tomato Big(Nepali);04/04/2018;Kg;30;35;32.5
114192;Tomato Big(Nepali);05/04/2018;Kg;30;35;32.5
114263;Tomato Big(Nepali);06/04/2018;Kg;35;40;37.5
114332;Tomato Big(Nepali);07/04/2018;Kg;35;40;37.5
114401;Tomato Big(Nepali);08/04/2018;Kg;30;35;32.5
114470;Tomato Big(Nepali);09/04/2018;Kg;30;35;32.5
114538;Tomato Big(Nepali);10/04/2018;Kg;30;35;32.5
114607;Tomato Big(Nepali);11/04/2018;Kg;30;35;32.5
114675;Tomato Big(Nepali);12/04/2018;Kg;30;35;32.5
114742;Tomato Big(Nepali);13/04/2018;Kg;30;38;34
114809;Tomato Big(Nepali);14/04/2018;Kg;30;35;32.5
114876;Tomato Big(Nepali);15/04/2018;Kg;30;35;32.5
114943;Tomato Big(Nepali);16/04/2018;Kg;30;35;32.5
115010;Tomato Big(Nepali);17/04/2018;Kg;35;40;37.5
115078;Tomato Big(Nepali);18/04/2018;Kg;35;40;37.5
115146;Tomato Big(Nepali);19/04/2018;Kg;40;45;42.5
115214;Tomato Big(Nepali);20/04/2018;Kg;50;55;52.5
115282;Tomato Big(Nepali);21/04/2018;Kg;50;55;52.5
115349;Tomato Big(Nepali);22/04/2018;Kg;35;40;37.5
115417;Tomato Big(Nepali);23/04/2018;Kg;40;45;42.5
115485;Tomato Big(Nepali);24/04/2018;Kg;45;50;47.5
115553;Tomato Big(Nepali);25/04/2018;Kg;40;45;42.5
115620;Tomato Big(Nepali);26/04/2018;Kg;45;50;47.5
115687;Tomato Big(Nepali);27/04/2018;Kg;45;50;47.5
115754;Tomato Big(Nepali);28/04/2018;Kg;45;50;47.5
115821;Tomato Big(Nepali);29/04/2018;Kg;45;50;47.5
115888;Tomato Big(Nepali);30/04/2018;Kg;35;40;37.5
115956;Tomato Big(Nepali);01/05/2018;Kg;35;40;37.5
116024;Tomato Big(Nepali);02/05/2018;Kg;35;40;37.5
116092;Tomato Big(Nepali);03/05/2018;Kg;35;40;37.5
116160;Tomato Big(Nepali);04/05/2018;Kg;40;45;42.5
116228;Tomato Big(Nepali);05/05/2018;Kg;40;45;42.5
116296;Tomato Big(Nepali);06/05/2018;Kg;40;45;42.5
116363;Tomato Big(Nepali);07/05/2018;Kg;35;40;37.5
116430;Tomato Big(Nepali);08/05/2018;Kg;35;40;37.5
116497;Tomato Big(Nepali);09/05/2018;Kg;35;40;37.5
116562;Tomato Big(Nepali);10/05/2018;Kg;35;40;37.5
116627;Tomato Big(Nepali);11/05/2018;Kg;35;40;37.5
116692;Tomato Big(Nepali);12/05/2018;Kg;35;40;37.5
116757;Tomato Big(Nepali);13/05/2018;Kg;35;40;37.5
116822;Tomato Big(Nepali);14/05/2018;Kg;35;40;37.5
116888;Tomato Big(Nepali);15/05/2018;Kg;35;40;37.5
116954;Tomato Big(Nepali);16/05/2018;Kg;35;40;37.5
117020;Tomato Big(Nepali);17/05/2018;Kg;35;40;37.5
117086;Tomato Big(Nepali);18/05/2018;Kg;35;40;37.5
117152;Tomato Big(Nepali);19/05/2018;Kg;30;35;32.5
117218;Tomato Big(Nepali);20/05/2018;Kg;30;35;32.5
117283;Tomato Big(Nepali);21/05/2018;Kg;30;35;32.5
117348;Tomato Big(Nepali);22/05/2018;Kg;30;35;32.5
117412;Tomato Big(Nepali);23/05/2018;Kg;30;35;32.5
117476;Tomato Big(Nepali);24/05/2018;Kg;30;35;32.5
117541;Tomato Big(Nepali);25/05/2018;Kg;30;35;32.5
117605;Tomato Big(Nepali);26/05/2018;Kg;30;35;32.5
117670;Tomato Big(Nepali);27/05/2018;Kg;30;35;32.5
117734;Tomato Big(Nepali);28/05/2018;Kg;30;35;32.5
117798;Tomato Big(Nepali);29/05/2018;Kg;45;50;47.5
117863;Tomato Big(Nepali);30/05/2018;Kg;40;45;42.5
117927;Tomato Big(Nepali);31/05/2018;Kg;40;45;42.5
117992;Tomato Big(Nepali);01/06/2018;Kg;40;45;42.5
118057;Tomato Big(Nepali);02/06/2018;Kg;40;45;42.5
118122;Tomato Big(Nepali);03/06/2018;Kg;35;40;37.5
118187;Tomato Big(Nepali);04/06/2018;Kg;35;40;37.5
118252;Tomato Big(Nepali);05/06/2018;Kg;35;40;37.5
118317;Tomato Big(Nepali);06/06/2018;Kg;35;40;37.5
118382;Tomato Big(Nepali);07/06/2018;Kg;35;40;37.5
118447;Tomato Big(Nepali);08/06/2018;Kg;35;40;37.5
118511;Tomato Big(Nepali);09/06/2018;Kg;35;40;37.5
118575;Tomato Big(Nepali);10/06/2018;Kg;40;45;42.5
118638;Tomato Big(Nepali);11/06/2018;Kg;40;45;42.5
118702;Tomato Big(Nepali);12/06/2018;Kg;55;60;57.5
118765;Tomato Big(Nepali);13/06/2018;Kg;55;60;57.5
118829;Tomato Big(Nepali);14/06/2018;Kg;55;60;57.5
118894;Tomato Big(Nepali);15/06/2018;Kg;55;60;57.5
118959;Tomato Big(Nepali);16/06/2018;Kg;55;60;57.5
119024;Tomato Big(Nepali);17/06/2018;Kg;55;60;57.5
119089;Tomato Big(Nepali);18/06/2018;Kg;55;60;57.5
119154;Tomato Big(Nepali);19/06/2018;Kg;55;60;57.5
119470;Tomato Big(Nepali);24/06/2018;Kg;75;80;77.5
119533;Tomato Big(Nepali);25/06/2018;Kg;70;80;75
119595;Tomato Big(Nepali);26/06/2018;Kg;65;70;67.5
119657;Tomato Big(Nepali);27/06/2018;Kg;65;70;67.5
119719;Tomato Big(Nepali);28/06/2018;Kg;65;70;67.5
119780;Tomato Big(Nepali);29/06/2018;Kg;55;60;57.5
119841;Tomato Big(Nepali);30/06/2018;Kg;55;60;57.5
119903;Tomato Big(Nepali);01/07/2018;Kg;45;50;47.5
119964;Tomato Big(Nepali);02/07/2018;Kg;45;50;47.5
120026;Tomato Big(Nepali);03/07/2018;Kg;50;55;52.5
120087;Tomato Big(Nepali);04/07/2018;Kg;40;45;42.5
120149;Tomato Big(Nepali);05/07/2018;Kg;35;40;37.5
120211;Tomato Big(Nepali);06/07/2018;Kg;35;40;37.5
120273;Tomato Big(Nepali);07/07/2018;Kg;35;40;37.5
120335;Tomato Big(Nepali);08/07/2018;Kg;35;40;37.5
120397;Tomato Big(Nepali);09/07/2018;Kg;35;40;37.5
120459;Tomato Big(Nepali);10/07/2018;Kg;40;45;42.5
120760;Tomato Big(Nepali);15/07/2018;Kg;55;60;57.5
120821;Tomato Big(Nepali);16/07/2018;Kg;55;60;57.5
120881;Tomato Big(Nepali);17/07/2018;Kg;55;60;57.5
121002;Tomato Big(Nepali);19/07/2018;Kg;30;35;32.5
121062;Tomato Big(Nepali);20/07/2018;Kg;35;40;37.5
121124;Tomato Big(Nepali);21/07/2018;Kg;35;40;37.5
121186;Tomato Big(Nepali);22/07/2018;Kg;35;40;37.5
121248;Tomato Big(Nepali);23/07/2018;Kg;20;25;22.5
121310;Tomato Big(Nepali);24/07/2018;Kg;30;35;32.5
121372;Tomato Big(Nepali);25/07/2018;Kg;30;35;32.5
121434;Tomato Big(Nepali);26/07/2018;Kg;35;40;37.5
121496;Tomato Big(Nepali);27/07/2018;Kg;30;35;32.5
121558;Tomato Big(Nepali);28/07/2018;Kg;30;35;32.5
121620;Tomato Big(Nepali);29/07/2018;Kg;30;35;32.5
121681;Tomato Big(Nepali);30/07/2018;Kg;35;40;37.5
121742;Tomato Big(Nepali);31/07/2018;Kg;35;40;37.5
121803;Tomato Big(Nepali);01/08/2018;Kg;35;40;37.5
121864;Tomato Big(Nepali);02/08/2018;Kg;45;50;47.5
121925;Tomato Big(Nepali);03/08/2018;Kg;40;45;42.5
121986;Tomato Big(Nepali);04/08/2018;Kg;40;45;42.5
122047;Tomato Big(Nepali);05/08/2018;Kg;40;45;42.5
122108;Tomato Big(Nepali);06/08/2018;Kg;45;50;47.5
122169;Tomato Big(Nepali);07/08/2018;Kg;55;60;57.5
122290;Tomato Big(Nepali);09/08/2018;Kg;65;70;67.5
122351;Tomato Big(Nepali);10/08/2018;Kg;50;55;52.5
122412;Tomato Big(Nepali);11/08/2018;Kg;50;55;52.5
122473;Tomato Big(Nepali);12/08/2018;Kg;50;55;52.5
122534;Tomato Big(Nepali);13/08/2018;Kg;50;55;52.5
122594;Tomato Big(Nepali);14/08/2018;Kg;45;50;47.5
122653;Tomato Big(Nepali);15/08/2018;Kg;45;50;47.5
122712;Tomato Big(Nepali);16/08/2018;Kg;45;50;47.5
122771;Tomato Big(Nepali);17/08/2018;Kg;45;50;47.5
122829;Tomato Big(Nepali);18/08/2018;Kg;45;50;47.5
122887;Tomato Big(Nepali);19/08/2018;Kg;45;50;47.5
122946;Tomato Big(Nepali);20/08/2018;Kg;50;55;52.5
123005;Tomato Big(Nepali);21/08/2018;Kg;55;60;57.5
123045;Tomato Big(Nepali);22/08/2018;Kg;55;60;57.5
123104;Tomato Big(Nepali);23/08/2018;Kg;45;50;47.5
123163;Tomato Big(Nepali);24/08/2018;Kg;45;50;47.5
123222;Tomato Big(Nepali);25/08/2018;Kg;45;50;47.5
123281;Tomato Big(Nepali);26/08/2018;Kg;40;45;42.5
123340;Tomato Big(Nepali);27/08/2018;Kg;35;40;37.5
123401;Tomato Big(Nepali);28/08/2018;Kg;40;45;42.5
123461;Tomato Big(Nepali);29/08/2018;Kg;50;55;52.5
123521;Tomato Big(Nepali);30/08/2018;Kg;50;55;52.5
123581;Tomato Big(Nepali);31/08/2018;Kg;45;50;47.5
123640;Tomato Big(Nepali);01/09/2018;Kg;45;50;47.5
123701;Tomato Big(Nepali);02/09/2018;Kg;45;50;47.5
123762;Tomato Big(Nepali);03/09/2018;Kg;45;50;47.5
123823;Tomato Big(Nepali);04/09/2018;Kg;50;55;52.5
123883;Tomato Big(Nepali);05/09/2018;Kg;40;45;42.5
123943;Tomato Big(Nepali);06/09/2018;Kg;40;45;42.5
124004;Tomato Big(Nepali);07/09/2018;Kg;40;45;42.5
124065;Tomato Big(Nepali);08/09/2018;Kg;40;45;42.5
124126;Tomato Big(Nepali);09/09/2018;Kg;35;40;37.5
124187;Tomato Big(Nepali);10/09/2018;Kg;35;40;37.5
124248;Tomato Big(Nepali);11/09/2018;Kg;35;40;37.5
124309;Tomato Big(Nepali);12/09/2018;Kg;35;40;37.5
124370;Tomato Big(Nepali);13/09/2018;Kg;35;40;37.5
124431;Tomato Big(Nepali);14/09/2018;Kg;35;40;37.5
124492;Tomato Big(Nepali);15/09/2018;Kg;35;40;37.5
124553;Tomato Big(Nepali);16/09/2018;Kg;35;40;37.5
124614;Tomato Big(Nepali);17/09/2018;Kg;35;40;37.5
124673;Tomato Big(Nepali);18/09/2018;Kg;35;40;37.5
124731;Tomato Big(Nepali);19/09/2018;Kg;35;40;37.5
124790;Tomato Big(Nepali);20/09/2018;Kg;45;50;47.5
124849;Tomato Big(Nepali);21/09/2018;Kg;45;50;47.5
124907;Tomato Big(Nepali);22/09/2018;Kg;43;48;45.5
124965;Tomato Big(Nepali);23/09/2018;Kg;40;45;42.5
125024;Tomato Big(Nepali);24/09/2018;Kg;35;40;37.5
125083;Tomato Big(Nepali);25/09/2018;Kg;35;40;37.5
125142;Tomato Big(Nepali);26/09/2018;Kg;35;40;37.5
125200;Tomato Big(Nepali);27/09/2018;Kg;35;40;37.5
125258;Tomato Big(Nepali);28/09/2018;Kg;35;40;37.5
125316;Tomato Big(Nepali);29/09/2018;Kg;35;40;37.5
125375;Tomato Big(Nepali);30/09/2018;Kg;35;40;37.5
125434;Tomato Big(Nepali);01/10/2018;Kg;35;40;37.5
125493;Tomato Big(Nepali);02/10/2018;Kg;45;50;47.5
125551;Tomato Big(Nepali);03/10/2018;Kg;40;45;42.5
125610;Tomato Big(Nepali);04/10/2018;Kg;50;55;52.5
125671;Tomato Big(Nepali);05/10/2018;Kg;50;55;52.5
125731;Tomato Big(Nepali);06/10/2018;Kg;50;55;52.5
125791;Tomato Big(Nepali);07/10/2018;Kg;50;55;52.5
125853;Tomato Big(Nepali);08/10/2018;Kg;50;55;52.5
125914;Tomato Big(Nepali);09/10/2018;Kg;45;50;47.5
125976;Tomato Big(Nepali);10/10/2018;Kg;40;45;42.5
126037;Tomato Big(Nepali);11/10/2018;Kg;40;45;42.5
126097;Tomato Big(Nepali);12/10/2018;Kg;40;45;42.5
126158;Tomato Big(Nepali);13/10/2018;Kg;40;45;42.5
126218;Tomato Big(Nepali);14/10/2018;Kg;35;40;37.5
126279;Tomato Big(Nepali);15/10/2018;Kg;35;40;37.5
126342;Tomato Big(Nepali);16/10/2018;Kg;35;40;37.5
126404;Tomato Big(Nepali);17/10/2018;Kg;35;40;37.5
126462;Tomato Big(Nepali);18/10/2018;Kg;35;40;37.5
126516;Tomato Big(Nepali);19/10/2018;Kg;35;40;37.5
126571;Tomato Big(Nepali);20/10/2018;Kg;35;40;37.5
126627;Tomato Big(Nepali);21/10/2018;Kg;35;40;37.5
126684;Tomato Big(Nepali);22/10/2018;Kg;35;40;37.5
126741;Tomato Big(Nepali);23/10/2018;Kg;35;40;37.5
126797;Tomato Big(Nepali);24/10/2018;Kg;35;40;37.5
126857;Tomato Big(Nepali);25/10/2018;Kg;28;33;30.5
126917;Tomato Big(Nepali);26/10/2018;Kg;25;30;27.5
126977;Tomato Big(Nepali);27/10/2018;Kg;28;30;29
127037;Tomato Big(Nepali);28/10/2018;Kg;28;33;30.5
127097;Tomato Big(Nepali);29/10/2018;Kg;30;35;32.5
127157;Tomato Big(Nepali);30/10/2018;Kg;30;35;32.5
127216;Tomato Big(Nepali);31/10/2018;Kg;30;35;32.5
127276;Tomato Big(Nepali);01/11/2018;Kg;30;35;32.5
127337;Tomato Big(Nepali);02/11/2018;Kg;30;35;32.5
127399;Tomato Big(Nepali);03/11/2018;Kg;30;35;32.5
127461;Tomato Big(Nepali);04/11/2018;Kg;30;35;32.5
127523;Tomato Big(Nepali);05/11/2018;Kg;30;35;32.5
127585;Tomato Big(Nepali);06/11/2018;Kg;30;34;32
127647;Tomato Big(Nepali);07/11/2018;Kg;30;35;32.5
127709;Tomato Big(Nepali);08/11/2018;Kg;25;33;29
127771;Tomato Big(Nepali);09/11/2018;Kg;30;35;32.5
127833;Tomato Big(Nepali);10/11/2018;Kg;30;35;32.5
127887;Tomato Big(Nepali);11/11/2018;Kg;30;35;32.5
127949;Tomato Big(Nepali);12/11/2018;Kg;30;35;32.5
128012;Tomato Big(Nepali);13/11/2018;Kg;30;35;32.5
128074;Tomato Big(Nepali);14/11/2018;Kg;25;30;27.5
128135;Tomato Big(Nepali);15/11/2018;Kg;30;35;32.5
128198;Tomato Big(Nepali);16/11/2018;Kg;30;35;32.5
128262;Tomato Big(Nepali);17/11/2018;Kg;30;35;32.5
128328;Tomato Big(Nepali);18/11/2018;Kg;30;35;32.5
128394;Tomato Big(Nepali);19/11/2018;Kg;30;35;32.5
128461;Tomato Big(Nepali);20/11/2018;Kg;30;35;32.5
128528;Tomato Big(Nepali);21/11/2018;Kg;30;35;32.5
128595;Tomato Big(Nepali);22/11/2018;Kg;30;35;32.5
128662;Tomato Big(Nepali);23/11/2018;Kg;30;35;32.5
128728;Tomato Big(Nepali);24/11/2018;Kg;30;35;32.5
128794;Tomato Big(Nepali);25/11/2018;Kg;30;35;32.5
128860;Tomato Big(Nepali);26/11/2018;Kg;30;35;32.5
128926;Tomato Big(Nepali);27/11/2018;Kg;25;30;27.5
128992;Tomato Big(Nepali);28/11/2018;Kg;25;30;27.5
129058;Tomato Big(Nepali);29/11/2018;Kg;25;30;27.5
129124;Tomato Big(Nepali);30/11/2018;Kg;20;25;22.5
129190;Tomato Big(Nepali);01/12/2018;Kg;20;25;22.5
129256;Tomato Big(Nepali);02/12/2018;Kg;25;30;27.5
129320;Tomato Big(Nepali);03/12/2018;Kg;25;30;27.5
129386;Tomato Big(Nepali);04/12/2018;Kg;25;30;27.5
129453;Tomato Big(Nepali);05/12/2018;Kg;25;30;27.5
129520;Tomato Big(Nepali);06/12/2018;Kg;30;35;32.5
129587;Tomato Big(Nepali);07/12/2018;Kg;30;35;32.5
129654;Tomato Big(Nepali);08/12/2018;Kg;30;35;32.5
129721;Tomato Big(Nepali);09/12/2018;Kg;30;35;32.5
129787;Tomato Big(Nepali);10/12/2018;Kg;30;35;32.5
129854;Tomato Big(Nepali);11/12/2018;Kg;30;35;32.5
129921;Tomato Big(Nepali);12/12/2018;Kg;30;35;32.5
129988;Tomato Big(Nepali);13/12/2018;Kg;45;50;47.5
130053;Tomato Big(Nepali);14/12/2018;Kg;45;50;47.5
130118;Tomato Big(Nepali);15/12/2018;Kg;45;50;47.5
130183;Tomato Big(Nepali);16/12/2018;Kg;50;55;52.5
130248;Tomato Big(Nepali);17/12/2018;Kg;50;55;52.5
130313;Tomato Big(Nepali);18/12/2018;Kg;45;50;47.5
130378;Tomato Big(Nepali);19/12/2018;Kg;45;50;47.5
130443;Tomato Big(Nepali);20/12/2018;Kg;45;50;47.5
130509;Tomato Big(Nepali);21/12/2018;Kg;35;40;37.5
130575;Tomato Big(Nepali);22/12/2018;Kg;35;40;37.5
130641;Tomato Big(Nepali);23/12/2018;Kg;35;40;37.5
130708;Tomato Big(Nepali);24/12/2018;Kg;40;45;42.5
130775;Tomato Big(Nepali);25/12/2018;Kg;40;45;42.5
130842;Tomato Big(Nepali);26/12/2018;Kg;40;45;42.5
130908;Tomato Big(Nepali);27/12/2018;Kg;40;45;42.5
130973;Tomato Big(Nepali);28/12/2018;Kg;40;45;42.5
131040;Tomato Big(Nepali);29/12/2018;Kg;45;50;47.5
131107;Tomato Big(Nepali);30/12/2018;Kg;45;50;47.5
131174;Tomato Big(Nepali);31/12/2018;Kg;40;45;42.5
131242;Tomato Big(Nepali);01/01/2019;Kg;45;50;47.5
131311;Tomato Big(Nepali);02/01/2019;Kg;45;50;47.5
131377;Tomato Big(Nepali);03/01/2019;Kg;50;55;52.5
131445;Tomato Big(Nepali);04/01/2019;Kg;55;60;57.5
131513;Tomato Big(Nepali);05/01/2019;Kg;55;60;57.5
131581;Tomato Big(Nepali);06/01/2019;Kg;65;70;67.5
131649;Tomato Big(Nepali);07/01/2019;Kg;60;65;62.5
131718;Tomato Big(Nepali);08/01/2019;Kg;60;65;62.5
131787;Tomato Big(Nepali);09/01/2019;Kg;65;70;67.5
131855;Tomato Big(Nepali);10/01/2019;Kg;65;70;67.5
131922;Tomato Big(Nepali);11/01/2019;Kg;55;60;57.5
131991;Tomato Big(Nepali);12/01/2019;Kg;55;60;57.5
132060;Tomato Big(Nepali);13/01/2019;Kg;55;60;57.5
132129;Tomato Big(Nepali);14/01/2019;Kg;50;55;52.5
132198;Tomato Big(Nepali);15/01/2019;Kg;50;55;52.5
132267;Tomato Big(Nepali);16/01/2019;Kg;50;55;52.5
132335;Tomato Big(Nepali);17/01/2019;Kg;50;55;52.5
132405;Tomato Big(Nepali);18/01/2019;Kg;50;55;52.5
132475;Tomato Big(Nepali);19/01/2019;Kg;50;55;52.5
132545;Tomato Big(Nepali);20/01/2019;Kg;55;60;57.5
132615;Tomato Big(Nepali);21/01/2019;Kg;55;60;57.5
132685;Tomato Big(Nepali);22/01/2019;Kg;55;60;57.5
132753;Tomato Big(Nepali);23/01/2019;Kg;52;56;54
132821;Tomato Big(Nepali);24/01/2019;Kg;45;50;47.5
132889;Tomato Big(Nepali);25/01/2019;Kg;45;50;47.5
132957;Tomato Big(Nepali);26/01/2019;Kg;44;50;47
133025;Tomato Big(Nepali);27/01/2019;Kg;50;55;52.5
133093;Tomato Big(Nepali);28/01/2019;Kg;45;50;47.5
133160;Tomato Big(Nepali);29/01/2019;Kg;40;45;42.5
133227;Tomato Big(Nepali);30/01/2019;Kg;40;45;42.5
133295;Tomato Big(Nepali);31/01/2019;Kg;40;45;42.5
133363;Tomato Big(Nepali);01/02/2019;Kg;40;45;42.5
133431;Tomato Big(Nepali);02/02/2019;Kg;40;45;42.5
133499;Tomato Big(Nepali);03/02/2019;Kg;40;45;42.5
133567;Tomato Big(Nepali);04/02/2019;Kg;40;45;42.5
133636;Tomato Big(Nepali);05/02/2019;Kg;40;45;42.5
133705;Tomato Big(Nepali);06/02/2019;Kg;40;45;42.5
133774;Tomato Big(Nepali);07/02/2019;Kg;40;45;42.5
133842;Tomato Big(Nepali);08/02/2019;Kg;40;45;42.5
133907;Tomato Big(Nepali);09/02/2019;Kg;45;50;47.5
133972;Tomato Big(Nepali);10/02/2019;Kg;65;70;67.5
134222;Tomato Big(Nepali);14/02/2019;Kg;55;60;57.5
134286;Tomato Big(Nepali);15/02/2019;Kg;50;60;55
134351;Tomato Big(Nepali);16/02/2019;Kg;50;60;55
134415;Tomato Big(Nepali);17/02/2019;Kg;50;55;52.5
134481;Tomato Big(Nepali);18/02/2019;Kg;45;50;47.5
134547;Tomato Big(Nepali);19/02/2019;Kg;45;50;47.5
134612;Tomato Big(Nepali);20/02/2019;Kg;45;50;47.5
134677;Tomato Big(Nepali);21/02/2019;Kg;45;50;47.5
134742;Tomato Big(Nepali);22/02/2019;Kg;40;45;42.5
134807;Tomato Big(Nepali);23/02/2019;Kg;40;45;42.5
134872;Tomato Big(Nepali);24/02/2019;Kg;45;50;47.5
134937;Tomato Big(Nepali);25/02/2019;Kg;45;50;47.5
135001;Tomato Big(Nepali);26/02/2019;Kg;45;50;47.5
135063;Tomato Big(Nepali);27/02/2019;Kg;45;50;47.5
135127;Tomato Big(Nepali);28/02/2019;Kg;45;50;47.5
135192;Tomato Big(Nepali);01/03/2019;Kg;45;50;47.5
135257;Tomato Big(Nepali);02/03/2019;Kg;45;50;47.5
135322;Tomato Big(Nepali);03/03/2019;Kg;45;50;47.5
135385;Tomato Big(Nepali);05/03/2019;Kg;45;50;47.5
135449;Tomato Big(Nepali);06/03/2019;Kg;45;50;47.5
135513;Tomato Big(Nepali);07/03/2019;Kg;45;50;47.5
135576;Tomato Big(Nepali);08/03/2019;Kg;45;50;47.5
135643;Tomato Big(Nepali);09/03/2019;Kg;35;40;37.5
135709;Tomato Big(Nepali);10/03/2019;Kg;35;40;37.5
135775;Tomato Big(Nepali);11/03/2019;Kg;45;50;47.5
135838;Tomato Big(Nepali);12/03/2019;Kg;50;55;52.5
135900;Tomato Big(Nepali);13/03/2019;Kg;55;60;57.5
135963;Tomato Big(Nepali);14/03/2019;Kg;50;55;52.5
136025;Tomato Big(Nepali);15/03/2019;Kg;55;60;57.5
136087;Tomato Big(Nepali);16/03/2019;Kg;55;60;57.5
136151;Tomato Big(Nepali);17/03/2019;Kg;65;70;67.5
136212;Tomato Big(Nepali);18/03/2019;Kg;65;70;67.5
136275;Tomato Big(Nepali);19/03/2019;Kg;65;70;67.5
136334;Tomato Big(Nepali);20/03/2019;Kg;65;70;67.5
136396;Tomato Big(Nepali);21/03/2019;Kg;60;65;62.5
136458;Tomato Big(Nepali);22/03/2019;Kg;60;65;62.5
136520;Tomato Big(Nepali);23/03/2019;Kg;60;65;62.5
136583;Tomato Big(Nepali);24/03/2019;Kg;50;55;52.5
136647;Tomato Big(Nepali);25/03/2019;Kg;50;55;52.5
136713;Tomato Big(Nepali);26/03/2019;Kg;65;70;67.5
136779;Tomato Big(Nepali);27/03/2019;Kg;65;70;67.5
136845;Tomato Big(Nepali);28/03/2019;Kg;55;60;57.5
136912;Tomato Big(Nepali);29/03/2019;Kg;50;55;52.5
136978;Tomato Big(Nepali);30/03/2019;Kg;50;55;52.5
137044;Tomato Big(Nepali);31/03/2019;Kg;45;50;47.5
137110;Tomato Big(Nepali);01/04/2019;Kg;50;55;52.5
137176;Tomato Big(Nepali);02/04/2019;Kg;55;60;57.5
137243;Tomato Big(Nepali);03/04/2019;Kg;45;50;47.5
137311;Tomato Big(Nepali);04/04/2019;Kg;45;50;47.5
137378;Tomato Big(Nepali);05/04/2019;Kg;45;50;47.5
137445;Tomato Big(Nepali);06/04/2019;Kg;45;50;47.5
137512;Tomato Big(Nepali);07/04/2019;Kg;45;50;47.5
137579;Tomato Big(Nepali);08/04/2019;Kg;45;50;47.5
137646;Tomato Big(Nepali);09/04/2019;Kg;45;50;47.5
137712;Tomato Big(Nepali);10/04/2019;Kg;45;50;47.5
137779;Tomato Big(Nepali);11/04/2019;Kg;50;55;52.5
137848;Tomato Big(Nepali);12/04/2019;Kg;50;55;52.5
137915;Tomato Big(Nepali);13/04/2019;Kg;50;55;52.5
137983;Tomato Big(Nepali);14/04/2019;Kg;45;50;47.5
138051;Tomato Big(Nepali);15/04/2019;Kg;55;60;57.5
138119;Tomato Big(Nepali);16/04/2019;Kg;45;50;47.5
138188;Tomato Big(Nepali);17/04/2019;Kg;50;55;52.5
138257;Tomato Big(Nepali);18/04/2019;Kg;50;55;52.5
138325;Tomato Big(Nepali);19/04/2019;Kg;55;60;57.5
138392;Tomato Big(Nepali);20/04/2019;Kg;55;60;57.5
138458;Tomato Big(Nepali);21/04/2019;Kg;55;60;57.5
138522;Tomato Big(Nepali);22/04/2019;Kg;55;60;57.5
138587;Tomato Big(Nepali);23/04/2019;Kg;50;55;52.5
138652;Tomato Big(Nepali);24/04/2019;Kg;50;55;52.5
138717;Tomato Big(Nepali);25/04/2019;Kg;45;50;47.5
138782;Tomato Big(Nepali);26/04/2019;Kg;45;50;47.5
138847;Tomato Big(Nepali);27/04/2019;Kg;45;50;47.5
138911;Tomato Big(Nepali);28/04/2019;Kg;55;60;57.5
138977;Tomato Big(Nepali);29/04/2019;Kg;55;60;57.5
139042;Tomato Big(Nepali);30/04/2019;Kg;75;80;77.5
139107;Tomato Big(Nepali);01/05/2019;Kg;75;80;77.5
139172;Tomato Big(Nepali);02/05/2019;Kg;65;70;67.5
139237;Tomato Big(Nepali);03/05/2019;Kg;65;70;67.5
139302;Tomato Big(Nepali);04/05/2019;Kg;65;70;67.5
139367;Tomato Big(Nepali);05/05/2019;Kg;65;70;67.5
139429;Tomato Big(Nepali);06/05/2019;Kg;65;70;67.5
139493;Tomato Big(Nepali);07/05/2019;Kg;65;70;67.5
139556;Tomato Big(Nepali);08/05/2019;Kg;65;70;67.5
139619;Tomato Big(Nepali);09/05/2019;Kg;65;70;67.5
139682;Tomato Big(Nepali);10/05/2019;Kg;75;80;77.5
139745;Tomato Big(Nepali);11/05/2019;Kg;65;70;67.5
139808;Tomato Big(Nepali);12/05/2019;Kg;95;100;97.5
139872;Tomato Big(Nepali);13/05/2019;Kg;95;100;97.5
139934;Tomato Big(Nepali);14/05/2019;Kg;90;95;92.5
139995;Tomato Big(Nepali);15/05/2019;Kg;95;100;97.5
140056;Tomato Big(Nepali);16/05/2019;Kg;75;80;77.5
140117;Tomato Big(Nepali);17/05/2019;Kg;80;85;82.5
140178;Tomato Big(Nepali);18/05/2019;Kg;75;80;77.5
140240;Tomato Big(Nepali);19/05/2019;Kg;85;90;87.5
140303;Tomato Big(Nepali);20/05/2019;Kg;75;80;77.5
